Symbol,Count
T3,9555
I4,9555
P3,9555
I3,9555
G3,9555
F4,9555
F3,9552
V34,8001
O3,5988
COCE6,3282
DXCO3,3253
CTNM4,3253
SANB3,3253
SBSP3,3253
BRAP3,3253
CGRA3,3253
CMIG4,3253
SMTO3,3253
CPLE3,3253
CRPG5,3253
BBAS3,3253
CPLE6,3253
BBDC4,3253
SAPR3,3253
PETR3,3253
TRPL4,3253
CGAS5,3253
TELB4,3253
FLRY3,3253
MDIA3,3253
GRND3,3253
POSI3,3253
ALPA3,3253
PETR4,3253
SUZB3,3253
PMAM3,3253
AMAR3,3253
TOTS3,3253
SAPR4,3253
BPAN4,3253
WHRL4,3253
MULT3,3253
LLIS3,3253
PCAR3,3253
KLBN4,3253
MYPK3,3253
SANB4,3253
WHRL3,3253
BRSR6,3253
RDNI3,3253
SANB11,3253
JBSS3,3253
BRFS3,3253
SYNE3,3253
AFLT3,3253
CMIG3,3253
INEP3,3253
TIMS3,3253
IGTI3,3253
OSXB3,3253
LPSB3,3253
EGIE3,3253
BRSR3,3253
RAPT3,3253
CSNA3,3253
BRAP4,3253
BBDC3,3253
PNVL3,3253
CEBR6,3253
RADL3,3253
DEXP3,3253
EVEN3,3253
MRVE3,3253
RANI3,3253
PDTC3,3253
TRPL3,3253
VIVT3,3253
BIOM3,3253
CEBR3,3253
UGPA3,3253
RPMG3,3253
PDGR3,3253
BRKM3,3253
EUCA3,3253
UNIP3,3253
HBOR3,3253
RSID3,3253
STBP3,3253
TAEE3,3253
GOAU4,3253
YDUQ3,3253
VIIA3,3253
UNIP6,3253
MRFG3,3253
EZTC3,3253
UNIP5,3253
BRML3,3253
ODPV3,3253
CPFE3,3253
AGRO3,3253
BRKM5,3253
TAEE11,3253
INEP4,3253
ALPA4,3253
EUCA4,3253
HYPE3,3253
LUPA3,3253
CYRE3,3253
BEEF3,3253
LEVE3,3253
RENT3,3253
ITUB4,3252
HOOT4,3252
DIRR3,3252
CGAS3,3252
ATMP3,3252
JHSF3,3252
ENMT3,3252
TELB3,3252
CEBR5,3252
MNDL3,3252
CRPG6,3252
ITUB3,3252
COCE5,3252
SCAR3,3252
CEDO4,3252
BRSR5,3252
SLED4,3252
MERC4,3251
BSLI4,3251
CLSC3,3251
BALM4,3251
BDLL3,3251
ESTR4,3251
CTNM3,3251
BRKM6,3251
GSHP3,3250
COCE3,3250
SLED3,3250
CRPG3,3250
BDLL4,3250
GEPA4,3250
CTKA4,3249
CEGR3,3249
GEPA3,3249
BSLI3,3248
OIBR4,3247
BALM3,3245
CASN3,3245
ENMT4,3244
CPLE5,3240
KLBN3,3240
CTKA3,3239
CEDO3,3239
BMIN3,3234
MMXM3,3232
CARD3,3228
CASN4,3224
LREN3,3221
IGBR3,3221
CSUD3,3216
BRPR3,3210
CEPE5,3205
CEPE6,3200
CEPE3,3200
CGRA4,3198
ESTR3,3196
CEED3,3149
RNEW11,3123
GSGI34,3065
MCDC34,3065
PFIZ34,3065
WALM34,3065
BOAC34,3065
ARMT34,3065
EEEL3,3065
APER3,3044
CTGP34,3029
MSFT34,3021
PRIO3,3020
FCXO34,3014
EEEL4,2991
ARZZ3,2985
ENAT3,2980
CEED4,2978
ALSO3,2929
MGLU3,2926
PGCO34,2925
QUAL3,2885
COCA34,2867
CAMB3,2833
GEOO34,2827
COLG34,2821
IBMB34,2789
MRCK34,2759
CATP34,2759
AXPB34,2759
WFCO34,2758
ORCL34,2758
NIKE34,2758
ATTB34,2758
CLSC4,2742
AMZO34,2736
MSCD34,2735
SLBG34,2724
CSCO34,2724
AAPL34,2723
PEPB34,2723
MMMC34,2723
JNJB34,2723
EBAY34,2713
HOME34,2712
COGN3,2709
EXXO34,2705
UPSS34,2694
FDXB34,2687
COPH34,2678
PPLA11,2678
JPMC34,2677
CHVX34,2677
ITLC34,2676
VERZ34,2676
ABTT34,2675
FDMO34,2674
LMTB34,2673
XRXB34,2662
HPQB34,2642
QCOM34,2632
NFLX34,2632
HALI34,2629
SBUB34,2474
MSBR34,2441
ALUP11,2436
BBSE3,2433
HONB34,2394
BMYB34,2382
CMCS34,2370
RNEW3,2347
ANIM3,2306
SEER3,2305
CVCB3,2278
VALE5,2268
KLBN11,2249
M1TA34,2219
BMLC11,2118
L3,2040
MMXM11,2000
DMMO3,1956
GOGL35,1685
ALUP4,1598
ALUP3,1581
AALR3,1564
H3,1563
PARD3,1491
RNEW4,1463
TAEE4,1435
MOVI3,1424
CRFB3,1384
IRBR3,1377
CAML3,1334
SAPR11,1271
VBBR3,1218
LOGG3,1025
SBFG3,949
C3,942
K3,912
NEOE3,899
VIVA3,826
CEAB3,809
BMGB4,793
NTCO3,780
MTRE3,745
MDNE3,743
ALPK3,678
AMBP3,642
SOMA3,628
DMVF3,622
LJQQ3,622
MILA11,621
LAVV3,604
PGMN3,604
JSLG3,600
PETZ3,597
PLPL3,594
CURY3,593
DEXP4,589
MELK3,587
BOAS3,582
SEQL3,580
GMAT3,578
TFCO4,569
ENJU3,560
CASH3,560
AERI3,557
RRRP3,556
SIMH3,539
NGRD3,531
AVLL3,523
VAMO3,505
ESPA3,503
INTB3,501
JALL3,501
MBLY3,500
BMOB3,498
CSED3,498
OPCT3,497
WEST3,497
ELMD3,496
ORVR3,496
CMIN3,493
AESB3,468
K2CG34,464
T2DH34,464
S2UI34,464
S2HO34,463
U2ST34,463
B2YN34,462
M2PW34,462
S2NW34,461
S2EA34,461
D2KN34,460
ALLD3,459
BLAU3,454
CPLE11,448
GGPS3,448
CXSE3,446
SOJA3,446
C2ZR34,442
IFCM3,441
MATD3,437
NINJ3,434
G2DI33,434
T2TD34,432
S2QU34,431
BIVE39,425
DOTZ3,425
BIVW39,425
BCWV39,421
RECR11,417
C2HD34,416
RECV3,411
P2EN34,401
STOC31,399
BRBI11,395
SMFT3,395
CBAV3,393
TTEN3,391
MLAS3,389
DESK3,389
AGXY3,386
FIQE3,384
LVTC3,384
ARML3,384
BRIT3,382
RAIZ4,378
VVEO3,377
LAND3,376
S2TO34,370
A2MC34,369
D2AS34,366
C2OI34,366
C2PT34,365
P2AT34,363
VITT3,359
TRAD3,353
ONCO3,347
BICL39,346
BURT39,346
BIXG39,346
S2QS34,344
MODL11,341
W2ST34,341
XPBR31,338
G2DD34,335
BOEF39,334
A2VL34,330
GETT4,326
GETT11,326
GETT3,326
MODL3,312
IGTI11,306
PORT3,292
MEGA3,282
BIME11,248
GTLG11,242
BIYE39,238
CXAG11,229
AURE3,220
ROOF11,219
MODL4,219
NUBR33,128
INBR31,78
JGPX11,42
SPXB11,42
AFHI11,42
SMAB11,41
MORC11,39
BIYT39,30
CJCT11,22
BGOV39,22
BKYY39,19
BTLT39,16
EQIR11,12
RZAG11,10
BFCG39,9
BSOX39,9
MFAI11,9
F11,6
HUSI11,6
URPR11,5
G11,4
ALUG11,3
B39,3
HSRE11,3
BCIR39,2
BIEI39,2
CACR11,2
BSCZ39,2
VSEC11,2
DEVA11,2
BFTA39,1
N2ET34,1
YDRO11,1
BFDL39,1
BFBI39,1
BSHV39,1
BFPX39,1
FOOD11,1
PURB11,1
BERU39,1
WRLD11,1
BSHY39,1
BFPI39,1
BQTC39,1
CYCR11,1
USTK11,1
GRAO3,1
BFXH39,1
BQQW39,1
BBGO11,1
RURA11,1
VGIA11,1
FGAA11,1
KNCA11,1
VCRA11,1
PLCA11,1
BFDN39,1
NCRA11,1
GCRA11,1
AGRX11,1
SNAG11,1
EGAF11,1
HGAG11,1
CPTR11,1
